24_2	aver	383	8	2	5	19	40	40	9	42	43	6	27	2	46	5.26	2	9	0	22.45	19.11	9.575	16.62	6.21	
25_2	aver	273	5	5	4	10	24	22	2	28	34	9	15	0	24	5.7	3	9	2	31.51	26.2	11.375	23.62	10.5	
26_2	aver	238	4	5	3	13	27	27	6	25	22	4	17	0	24	4.31	1	8	0	21.97	17.23	8.8148	17.58	5.15	
27_2	aver	331	1	2	7	20	39	38	5	32	34	8	16	1	25	3.95	3	6	1	17.59	15.5	8.4872	13.48	4.2	
29_2	aver	289	5	2	7	14	18	18	8	37	37	1	19	1	31	4.93	3	7	0	22.78	19.57	16.0556	16.47	7	
30_2	aver	313	9	5	5	11	24	24	11	34	40	3	19	3	35	5.73	3	11	0	37.09	27.36	13.0417	29.31	6.64	
VKo_8_1	worst	145	0	1	1	7	11	11	4	23	22	0	7	0	10	4.86	4	6	0	20.1	19.57	13.1818	16.67	7.86	
VKo_19_1	worst	125	1	1	3	5	10	10	2	18	19	4	4	0	5	4.4	3	6	0	28.3	23.8	12.5	21.6	13.4	
VKo_22_1	worst	144	0	4	1	8	14	14	2	21	22	4	2	0	8	4.62	2	7	0	21.86	16.88	10.2857	17.04	6.38	
ZEv_28_1	worst	216	5	0	2	11	13	13	6	23	43	8	6	1	15	4.27	2	8	0	23.33	18.55	16.6154	18.69	4.36	
EEm_18_1	worst	183	4	2	3	13	18	18	1	22	28	1	6	2	18	4.38	3	8	0	16.21	13	10.1667	13.6	6.31	
EEm_28_1	worst	204	4	0	0	8	15	15	3	20	32	3	4	0	13	5.62	4	8	0	28.89	24.38	13.6	24.82	9.38	
DZu_40_1	worst	164	1	0	1	15	17	16	0	17	21	9	0	0	10	2.67	1	4	1	11.24	9.87	9.6471	8.65	4.2	
KKo_18_1	worst	144	2	0	1	8	12	12	1	15	32	1	0	0	10	4.0	2	7	0	20.43	16.88	12.0	15.79	5.5	
LPo_8_1	worst	206	3	1	1	12	12	12	1	16	36	4	8	1	17	4.0	3	6	0	19.12	16.08	17.1667	14.98	4.33	
17_1	worst	161	1	1	3	6	11	11	3	23	29	3	1	0	10	5.17	4	8	0	30.0	25.67	14.6364	21.93	10.83	
VKo_32_2	worst	193	3	2	5	7	20	18	5	23	20	5	13	0	21	5.57	4	8	2	30.0	26.43	9.65	22.14	12.57	
ZEv_13_2	worst	188	3	2	2	19	23	23	2	22	23	6	10	0	17	3.0	1	6	0	12.23	8.84	8.1739	9.34	3.11	
ZEv_28_2	worst	119	1	1	1	9	12	12	1	13	13	1	2	0	10	3.78	1	8	0	16.39	12.11	9.9167	12.78	3.78	
EEm_18_2	worst	171	2	2	2	14	20	20	5	10	18	8	7	0	13	3.5	1	8	0	14.02	11.14	8.55	11.38	4.57	
EEm_28_2	worst	108	1	1	2	7	12	11	3	5	12	3	7	1	14	4.14	2	7	1	19.0	14.29	9.0	14.86	3.14	
DZu_40_2	worst	50	2	1	1	4	7	6	0	4	3	0	3	0	5	3.5	1	5	1	13.17	11.25	7.1429	11.0	3	
KKo_18_2	worst	93	0	2	5	3	8	8	2	9	13	0	8	0	13	6.0	5	7	0	33.0	29.67	11.625	21.67	4.67	
