KKo_18_1	worst	135	2	0	1	8	12	12	0	1	15	32	1	0	0	0	10	2	7	48	
LPo_8_1	worst	193	3	1	1	12	12	12	0	1	16	36	4	8	1	0	17	3	6	65	
17_1	worst	154	1	1	3	6	11	11	0	3	23	29	3	1	0	2	10	4	8	56	
VKo_32_2	worst	185	3	2	5	7	20	18	2	5	23	20	5	13	0	3	21	4	8	61	
ZEv_13_2	worst	168	3	2	2	19	23	23	0	2	22	23	6	10	0	3	17	1	6	61	
ZEv_28_2	worst	109	1	1	1	9	12	12	0	1	13	13	1	2	0	0	10	1	8	29	
EEm_18_2	worst	156	2	2	2	14	20	20	0	5	10	18	8	7	0	1	13	1	8	43	
EEm_28_2	worst	100	1	1	2	7	12	11	1	3	5	12	3	7	1	0	14	2	7	28	
DZu_40_2	worst	45	2	1	1	4	7	6	1	0	4	3	0	3	0	1	5	1	5	10	
KKo_18_2	worst	89	0	2	5	3	8	8	0	2	9	13	0	8	0	0	13	5	7	30	
