13_2	best	4.94	23.97	18.21	23.87	17.93	20.12	10.062	2.0	1.032	0.065	0.161	0.419	0.062	0.156	0.406	0.219	1.938	1.938	2.562	0.25	1.75	0.0	0.312	2.688	4.81	
28_2	best	6.0	35.04	25.33	36.6	26.5	30.18	12.296	2.455	1.0	0.259	0.074	0.333	0.259	0.074	0.333	0.259	2.455	3.545	5.091	0.364	1.818	0.091	0.545	2.818	9.45	
2_2	best	5.43	34.02	26.16	32.31	24.38	26.21	11.121	2.357	1.031	0.312	0.031	0.188	0.303	0.03	0.182	0.303	2.286	2.643	3.857	0.5	0.857	0.0	0.143	2.357	6.71	
10_1	aver	4.25	27.21	21.25	27.43	21.71	23.75	12.667	1.875	1.071	0.071	0.143	0.214	0.067	0.133	0.2	0.4	1.75	2.75	4.0	0.25	0.125	0.0	0.0	1.75	7.25	
11_1	aver	4.09	20.69	16.31	21.9	17.9	17.45	10.105	1.727	1.056	0.056	0.056	0.167	0.053	0.053	0.158	0.316	1.636	2.273	2.727	0.182	0.0	0.0	0.0	1.364	6	
14_1	aver	3.79	15.45	12.14	14.92	11.77	13.14	11.5	1.143	1.0	0.125	0.062	0.0	0.125	0.062	0.0	0.062	1.143	1.357	2.786	0.357	0.0	0.0	0.143	0.929	4.93	
15_1	aver	4.29	25.9	19.29	26.83	20.83	22.57	14.364	1.571	1.0	0.0	0.091	0.182	0.0	0.091	0.182	0.182	1.571	3.143	5.429	0.857	0.429	0.0	0.429	1.143	7.86	
16_1	aver	6.0	27.67	21.71	27.33	21.33	24.71	14.417	1.714	1.091	0.273	0.182	0.182	0.25	0.167	0.167	0.083	1.571	2.857	5.143	0.714	0.286	0.0	0.286	1.429	5	
18_1	aver	4.2	20.58	15.36	20.56	14.56	18.2	15.167	1.2	1.2	0.1	0.0	0.3	0.083	0.0	0.25	0.417	1.0	2.4	3.4	0.8	0.1	0.0	0.0	1.4	3.6	
19_1	aver	7.0	37.1	27.1	37.25	28.0	33.4	16.7	2.0	1.0	0.2	0.1	0.1	0.2	0.1	0.1	0.2	2.0	4.6	7.8	0.4	0.0	0.0	1.0	1.6	9.6	
1_1	aver	5.12	25.07	17.89	25.0	18.29	22.12	12.643	1.75	1.0	0.214	0.143	0.286	0.214	0.143	0.286	0.071	1.75	2.125	4.0	0.5	1.0	0.25	0.125	1.75	6.25	
20_1	aver	4.33	24.59	19.24	23.64	18.55	20.25	11.571	1.75	1.05	0.2	0.05	0.25	0.19	0.048	0.238	0.048	1.667	2.083	3.25	0.75	0.417	0.083	0.333	1.75	6.5	
21_1	aver	4.7	24.49	19.02	23.56	18.0	21.5	12.647	1.7	1.0	0.059	0.118	0.235	0.059	0.118	0.235	0.176	1.7	2.0	4.2	0.5	0.6	0.0	0.4	2.1	5	
22_1	aver	5.0	40.24	31.67	36.67	28.0	33.29	12.944	2.571	1.0	0.222	0.111	0.444	0.222	0.111	0.444	0.333	2.571	3.143	5.286	0.714	1.571	0.0	0.857	3.429	11.71	
23_1	aver	4.5	25.89	20.39	24.14	19.57	21.75	13.385	1.625	1.0	0.0	0.077	0.0	0.0	0.077	0.0	0.231	1.625	3.25	4.25	0.5	0.0	0.0	0.5	1.25	4.25	
24_1	aver	4.5	22.5	17.89	21.73	17.27	19	10.364	1.833	1.0	0.0	0.045	0.182	0.0	0.045	0.182	0.091	1.833	2.25	3.667	0.333	0.333	0.0	0.083	1.417	10.08	
25_1	aver	7.2	36.1	28.5	32.0	25.0	34	15.455	2.2	1.0	0.636	0.091	0.273	0.636	0.091	0.273	0.091	2.2	4.0	6.8	0.2	0.6	0.4	0.8	2.4	4.6	
26_1	aver	4.33	21.03	17.58	20.12	16.62	16.67	9.375	1.778	1.0	0.062	0.188	0.0	0.062	0.188	0.0	0.125	1.778	1.222	2.889	0.778	0.222	0.0	0.222	0.889	4.11	
27_1	aver	5.6	26.09	21.71	23.78	19.11	21.1	13.188	1.6	1.0	0.062	0.125	0.25	0.062	0.125	0.25	0.125	1.6	3.1	4.5	0.1	0.4	0.0	0.6	1.2	8.7	
28_1	aver	5.44	29.25	21.69	30.25	22.38	25.11	18.833	1.333	1.091	0.636	0.182	0.182	0.583	0.167	0.167	0.333	1.222	3.111	5.111	0.778	0.667	0.111	0.111	1.667	4.22	
29_1	aver	6.86	30.24	22.33	28.67	21.0	28	17.818	1.571	1.1	0.7	0.2	0.0	0.636	0.182	0.0	0.182	1.429	4.286	4.857	0.429	0.429	0.143	0.714	1.714	12.71	
2_1	aver	6.17	32.33	24.87	32.4	23.8	26.83	16.1	1.667	1.0	0.8	0.2	0.4	0.8	0.2	0.4	0.2	1.667	2.667	4.5	0.667	0.667	0.333	0.167	2.833	5	
30_1	aver	5.6	31.64	24.64	30.11	22.56	26.2	13.789	1.9	1.0	0.263	0.105	0.263	0.263	0.105	0.263	0.158	1.9	3.4	4.7	0.4	0.6	0.0	0.6	2.5	10.4	
10_2	aver	4.5	21.43	16.21	21.92	17.08	18.57	10.4	1.786	1.0	0.16	0.04	0.32	0.16	0.04	0.32	0.12	1.786	1.429	2.286	0.357	1.071	0.0	0.214	2.429	5.5	
11_2	aver	4.67	20.27	15.44	20.35	15.47	16.5	11.0	1.5	1.0	0.259	0.0	0.296	0.259	0.0	0.296	0.407	1.5	1.889	1.889	0.111	1.0	0.0	0.333	2.111	3.89	
12_2	aver	5.24	23.41	17.68	22.44	17.31	19.29	12.615	1.529	1.0	0.231	0.0	0.462	0.231	0.0	0.462	0.308	1.529	1.765	2.471	0.471	1.529	0.0	0.294	2.882	4.82	
14_2	aver	3.72	13.78	10.46	13.88	10.76	11.83	7.345	1.611	1.0	0.069	0.034	0.138	0.069	0.034	0.138	0.207	1.611	1.333	1.278	0.278	0.611	0.0	0.111	1.167	4.5	
15_2	aver	5.2	33.93	26.29	32.11	24.67	26.2	11.391	2.3	1.0	0.13	0.13	0.261	0.13	0.13	0.261	0.304	2.3	2.9	4.0	0.3	2.2	0.0	0.0	2.8	7.2	
16_2	aver	5.07	24.16	18.36	25.08	19.31	20.64	10.704	1.929	1.0	0.296	0.074	0.259	0.296	0.074	0.259	0.333	1.929	2.143	2.857	0.214	1.5	0.143	0.286	2.429	9.29	
17_2	aver	3.81	19.35	14.51	19.8	15.0	16.25	8.387	1.938	1.033	0.133	0.0	0.233	0.129	0.0	0.226	0.097	1.875	1.25	1.938	0.188	0.875	0.0	0.312	1.5	5.94	
